accuracy,n_classes,clf_time,train_time
1.0,2,0.17708492279052734,13.03177809715271
0.9625,3,0.1604299545288086,16.828325748443604
0.97,4,0.19401907920837402,21.239882946014404
0.8625,5,0.21264100074768066,29.82576012611389
0.8607142857142858,6,0.23279690742492676,29.045035123825073
0.8066666666666666,7,0.24976205825805664,24.919563055038452
0.84,8,0.24341392517089844,44.04145097732544
0.77,9,0.23124313354492188,33.68971610069275
0.7633333333333333,10,0.23121213912963867,59.16476392745972
0.7166666666666667,11,0.2350940704345703,52.49734973907471
0.7333333333333333,12,0.2737307548522949,102.04016399383545
0.6733333333333333,13,0.2499678134918213,76.60426497459412
0.7566666666666667,14,0.25099802017211914,65.27195405960083
0.8133333333333334,15,0.24354290962219238,64.83867979049683
0.7666666666666667,16,0.267488956451416,114.90467095375061
0.75,17,0.27066922187805176,105.79134106636047
0.6933333333333334,18,0.2423861026763916,112.02426409721375
0.7566666666666667,19,0.23725199699401855,136.0403697490692
0.7633333333333333,20,0.24253582954406738,87.26672697067261
0.75,21,0.24162673950195312,94.46801090240479
0.7733333333333333,22,0.241837739944458,173.2992660999298
0.7466666666666667,23,0.23664212226867676,167.90633821487427
0.71,24,0.24552607536315918,134.52041912078857
0.7566666666666667,25,0.2361588478088379,106.31878614425659
0.7166666666666667,26,0.23778390884399414,187.5665259361267
0.8066666666666666,27,0.48140859603881836,194.62031602859497
0.7966666666666666,28,0.5044679641723633,269.7957229614258
0.7466666666666667,29,0.5358052253723145,237.80010271072388
0.7066666666666667,30,0.2940659523010254,243.9121069908142
0.7966666666666666,31,0.2990539073944092,206.65633296966553
0.7933333333333333,32,0.2365119457244873,121.76494908332825
0.7833333333333333,33,0.2600741386413574,296.94609689712524
0.7233333333333334,34,0.255220890045166,261.4037010669708
0.7533333333333333,35,0.40500974655151367,348.83435106277466
0.7966666666666666,36,0.299915075302124,433.1799991130829
0.79,37,0.33530187606811523,304.31135725975037
0.6266666666666667,38,0.31164097785949707,529.2941517829895
0.7433333333333333,39,0.2588028907775879,551.4838421344757
0.7233333333333334,40,0.2712209224700928,239.9220609664917
0.7433333333333333,41,0.2858569622039795,560.4585952758789
0.7266666666666667,42,0.26350903511047363,294.2650890350342
0.7866666666666666,43,0.24677681922912598,305.8008179664612
0.7433333333333333,44,0.2445671558380127,415.3510298728943
0.7533333333333333,45,0.3110520839691162,205.24450421333313
0.69,46,0.27063608169555664,296.41419887542725
0.7133333333333334,47,0.2548818588256836,256.476665019989
0.7,48,0.263592004776001,220.09018898010254
0.6666666666666666,49,0.2531270980834961,453.7241241931915
0.7533333333333333,50,0.2582709789276123,222.89053416252136
