accuracy,n_classes,clf_time,train_time
1.0,2,0.23237895965576172,14.643324375152588
1.0,3,0.21542954444885254,11.77129340171814
0.98,4,0.23737072944641113,22.40323042869568
0.8458333333333333,5,0.2652907371520996,31.21377396583557
0.7928571428571428,6,0.33310937881469727,31.107646703720093
0.8133333333333334,7,0.26995396614074707,40.42250299453735
0.83,8,0.3119795322418213,60.05802345275879
0.7666666666666667,9,0.3201439380645752,34.85567331314087
0.66,10,0.2712728977203369,56.866671085357666
0.7633333333333333,11,0.25032925605773926,60.70665955543518
0.7133333333333334,12,0.2573120594024658,51.91417121887207
0.7633333333333333,13,0.2343735694885254,42.39662289619446
0.7133333333333334,14,0.27226996421813965,52.24728274345398
0.77,15,0.25128912925720215,48.0295991897583
0.7666666666666667,16,0.24933362007141113,58.53745770454407
0.76,17,0.2472989559173584,69.82930278778076
0.75,18,0.24933314323425293,99.82639026641846
0.8066666666666666,19,0.28025031089782715,94.96803665161133
0.8133333333333334,20,0.23636841773986816,104.33070921897888
0.7633333333333333,21,0.23680996894836426,88.95589089393616
0.8,22,0.23936057090759277,135.7959213256836
0.73,23,0.25232434272766113,153.68003010749817
0.7466666666666667,24,0.2593061923980713,130.72142481803894
0.7666666666666667,25,0.23337435722351074,103.35461020469666
0.7166666666666667,26,0.23537039756774902,111.08770680427551
0.7266666666666667,27,0.23636889457702637,109.8183228969574
0.7233333333333334,28,0.2403581142425537,108.18081521987915
0.79,29,0.23537111282348633,144.45475220680237
0.7766666666666666,30,0.2403571605682373,158.5211796760559
0.7366666666666667,31,0.2373642921447754,141.1356542110443
0.8,32,0.23536992073059082,166.95627999305725
0.8033333333333333,33,0.23736357688903809,164.54292130470276
0.7433333333333333,34,0.2323768138885498,144.3745152950287
0.8066666666666666,35,0.23536992073059082,226.73566579818726
0.77,36,0.2403581142425537,139.73204469680786
0.7266666666666667,37,0.2373642921447754,176.23127555847168
0.6933333333333334,38,0.24135351181030273,199.27127981185913
0.7633333333333333,39,0.2373640537261963,399.76195907592773
0.7233333333333334,40,0.23437213897705078,133.4563853740692
0.7566666666666667,41,0.2373638153076172,270.97500944137573
0.77,42,0.23735713958740234,288.01894903182983
0.74,43,0.24135446548461914,169.3232123851776
0.7766666666666666,44,0.2543201446533203,233.8039002418518
0.79,45,0.23935866355895996,414.8580729961395
0.76,46,0.25232434272766113,211.08503580093384
0.7766666666666666,47,0.2373638153076172,278.5393135547638
0.6733333333333333,48,0.23337650299072266,256.222540140152
0.68,49,0.24434828758239746,232.78464484214783
0.7433333333333333,50,0.25033068656921387,304.88422775268555
