accuracy,n_classes,clf_time,train_time
1.0,2,2.7776901721954346,0.15894293785095215
1.0,3,4.996104001998901,0.25583505630493164
0.955,4,7.860570192337036,0.30837297439575195
0.95,5,11.381360054016113,0.37354087829589844
0.9321428571428572,6,15.409446716308594,0.5183579921722412
0.9033333333333333,7,19.712119817733765,0.6052629947662354
0.92,8,22.257596969604492,0.6800518035888672
0.9066666666666666,9,25.910106897354126,0.780846118927002
0.8566666666666667,10,28.232599020004272,0.9254550933837891
0.8266666666666667,11,30.53264808654785,0.9603471755981445
0.78,12,32.62080097198486,1.1832993030548096
0.8266666666666667,13,34.31722903251648,1.2471599578857422
0.8666666666666667,14,37.76500988006592,1.3344130516052246
0.8233333333333334,15,38.06315803527832,1.4960110187530518
0.8233333333333334,16,42.42513108253479,1.541599988937378
0.84,17,42.46789312362671,1.7227258682250977
0.7766666666666666,18,45.050305128097534,1.818634033203125
0.7866666666666666,19,48.82106614112854,2.051379919052124
0.79,20,51.98877501487732,1.983569860458374
0.7566666666666667,21,51.76253318786621,2.11484694480896
0.7633333333333333,22,55.3324191570282,2.2069809436798096
0.8033333333333333,23,55.16700005531311,2.3575711250305176
0.7466666666666667,24,56.56152296066284,2.6385750770568848
0.7966666666666666,25,56.912981033325195,2.7877321243286133
0.7633333333333333,26,57.33645176887512,2.8880701065063477
0.78,27,62.49166226387024,3.104046106338501
0.7866666666666666,28,63.590149879455566,3.3187010288238525
0.77,29,64.1318781375885,3.2613399028778076
0.7633333333333333,30,68.21552586555481,3.416973114013672
0.7933333333333333,31,70.5434238910675,3.5645039081573486
0.7933333333333333,32,74.64732813835144,3.7858848571777344
0.81,33,72.77911710739136,3.777329921722412
0.8166666666666667,34,80.39489793777466,3.833433151245117
0.7833333333333333,35,82.33170890808105,4.253479719161987
0.82,36,90.55815291404724,4.682567119598389
0.8266666666666667,37,87.70259308815002,4.721224069595337
0.8433333333333334,38,89.37892603874207,4.470992088317871
0.8,39,94.17888307571411,4.611215829849243
0.7933333333333333,40,91.41201996803284,4.7044291496276855
0.8,41,91.17290496826172,4.744779109954834
0.8,42,93.96892809867859,4.837043762207031
0.7933333333333333,43,94.92290091514587,4.9770121574401855
0.7766666666666666,44,98.17259860038757,5.084023952484131
0.8033333333333333,45,99.59105205535889,5.416535139083862
0.8066666666666666,46,101.0651330947876,5.577613115310669
0.78,47,103.90004706382751,5.358590841293335
0.8133333333333334,48,102.65559005737305,6.212635040283203
0.7366666666666667,49,106.74184894561768,6.353822946548462
0.75,50,113.48626804351807,6.641132116317749
